File,Time Stamp,Mean Squared Error (MSE),Mean Absolute Error (MAE),Root Mean Square Error (RMSE),R2 Score,Variable
Imputation_results/Hopper-v4_w_imputed_mice_random.csv,,0.000196854,0.008658423,0.014030453,0.993258527,obs_6
Imputation_results/Hopper-v4_w_imputed_mice_random.csv,,0.003098339,0.035547763,0.055662723,0.832076471,obs_7
Imputation_results/mimic_w_imputed_mf_random.csv,20-01-24 17:34,103.2008091,7.510543311,10.1587799,-0.106814828,blood_paco2
Imputation_results/mimic_w_imputed_mf_random.csv,20-01-24 17:34,3676.861003,37.68630646,60.63712562,-0.64978361,blood_pao2
Imputation_results/mimic_w_imputed_knn_random.csv,20-01-24 17:34,61.690989,5.837373935,7.854361145,0.338372422,blood_paco2
Imputation_results/mimic_w_imputed_knn_random.csv,20-01-24 17:34,2134.103723,29.05795742,46.1963605,0.042441544,blood_pao2
Imputation_results/mimic_w_imputed_mice_random.csv,20-01-24 17:34,72.78672004,6.239345515,8.53151335,0.219372196,blood_paco2
Imputation_results/mimic_w_imputed_mice_random.csv,20-01-24 17:34,2426.154253,31.23589932,49.25600727,-0.088599628,blood_pao2
Imputation_results/Hopper-v4_w_imputed_knn_random.csv,20-01-24 17:38,1.44E-05,0.002352095,0.003794488,0.99950692,blood_paco2
Imputation_results/Hopper-v4_w_imputed_knn_random.csv,20-01-24 17:38,5.28E-05,0.002807654,0.007267913,0.997137127,blood_pao2
Imputation_results/mimic_w_imputed_knn_random_9.csv,21-01-24 17:42,58.97836514,5.738952928,7.679737309,0.367464949,blood_paco2
Imputation_results/mimic_w_imputed_knn_random_9.csv,21-01-24 17:42,2027.427166,28.37475688,45.02696044,0.090306621,blood_pao2
Imputation_results/mimic_w_imputed_knn_random_11.csv,21-01-24 17:42,58.44674968,5.717949366,7.645047396,0.373166453,blood_paco2
Imputation_results/mimic_w_imputed_knn_random_11.csv,21-01-24 17:42,2010.864327,28.23349877,44.84266191,0.09773826,blood_pao2
Imputation_results/mimic_w_imputed_knn_random_13.csv,21-01-24 17:43,58.09533818,5.703608594,7.622029794,0.376935295,blood_paco2
Imputation_results/mimic_w_imputed_knn_random_13.csv,21-01-24 17:43,2002.548351,28.15050588,44.74984191,0.101469584,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_5.csv,30-01-24 19:02,59.26987193,5.740056919,7.698692872,0.295479244,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_5.csv,30-01-24 19:02,2771.026482,33.95353967,52.64054029,-0.117016244,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_9.csv,30-01-24 19:02,56.55401509,5.593126211,7.520240361,0.327761708,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_9.csv,30-01-24 19:02,2540.408561,32.42019447,50.40246583,-0.024052873,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_11.csv,30-01-24 19:02,56.08662545,5.556903076,7.489100443,0.333317409,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_11.csv,30-01-24 19:02,2489.679616,31.90779729,49.89668943,-0.003603751,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_13.csv,30-01-24 19:03,55.83523731,5.525818898,7.472297994,0.336305574,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_13.csv,30-01-24 19:03,2465.888182,31.56705799,49.6577102,0.005986708,blood_pao2
Imputation_results/mimiciv_w_imputed_mice_random.csv,30-01-24 19:03,57.56304178,5.567763799,7.587031157,0.315767752,blood_paco2
Imputation_results/mimiciv_w_imputed_mice_random.csv,30-01-24 19:03,2559.544962,32.2990389,50.59194563,-0.031766863,blood_pao2
Imputation_results/mimiciv_w_imputed_mf_random.csv,30-01-24 19:03,79.96958378,6.756314479,8.94257143,0.049428827,blood_paco2
Imputation_results/mimiciv_w_imputed_mf_random.csv,30-01-24 19:03,4310.072038,40.44397012,65.6511389,-0.737414099,blood_pao2
Imputation_results/mimiciv_w_imputed_nn_random.csv,31-01-24 13:17,84.12697499,6.844217665,9.172075828,1.13E-05,blood_paco2
Imputation_results/mimiciv_w_imputed_nn_random.csv,31-01-24 13:17,2481.896497,32.17567028,49.81863604,-0.000466333,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_5.csv,06-02-24 20:18,59.26987193,5.740056919,7.698692872,0.295479244,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_5.csv,06-02-24 20:18,2771.026482,33.95353967,52.64054029,-0.117016244,blood_pao2
